,Unnamed: 0,Mejor,Media,Std
0,0,5156819.007036383,5194584.5829049405,16166.137624420126
1,1,5156819.007036383,5185814.886861083,11803.4598479066
2,2,5156819.007036383,5180112.916341833,9090.842090578164
3,3,5156819.007036383,5175274.503858923,7537.266435127568
4,4,5156819.007036383,5171754.755203579,7027.521389490451
5,5,5156819.007036383,5168618.676952351,5897.439752868204
6,6,5156819.007036383,5165289.819444968,4320.643286965516
7,7,5156819.007036383,5163339.719428244,3377.968556840586
8,8,5156295.790744319,5161909.159956113,3806.1572275654953
9,9,5155441.953922274,5160411.214216442,3912.8073839941135
10,10,5155441.953922274,5158713.841505156,3375.57659602236
11,11,5155441.953922274,5157385.173815838,2303.3622719402024
12,12,5155441.953922274,5156558.822385817,882.3800881850461
13,13,5155441.953922274,5156284.290082654,567.0082290771614
14,14,5155246.078915578,5155999.047097388,486.203828370038
15,15,5155246.078915578,5155775.178694704,453.3423260563052
16,16,5154372.600127554,5155484.6404207,315.93089200203235
17,17,5154372.600127554,5155367.090799252,206.00092030516527
18,18,5154372.600127554,5155255.371073478,357.8031175061091
19,19,5154312.031993281,5155101.69905318,352.761097479843
20,20,5154060.86712769,5154896.428014773,352.4816706389851
21,21,5154060.86712769,5154702.767336369,332.9362547519036
22,22,5154060.86712769,5154516.232603753,287.1376290253748
23,23,5153865.1107678525,5154344.77361469,204.1297235317725
24,24,5153865.1107678525,5154246.278936866,180.9232931663244
25,25,5153722.248006433,5154140.2748220265,180.091094888051
26,26,5153429.758967221,5154029.8123431895,201.19721849034613
27,27,5153429.758967221,5153932.605924707,301.1583833795609
28,28,5153429.758967221,5153797.923694901,267.0992071166148
29,29,5153065.506879882,5153672.607130876,243.5522413563636
30,30,5153065.506879882,5153554.766593768,298.89013498044625
31,31,5152602.278550794,5153420.368302917,227.5118446587745
32,32,5152602.278550794,5153313.947458505,208.31339278895237
33,33,5152602.278550794,5153205.489254487,252.3124843874152
34,34,5151963.546118887,5153027.618782879,383.3446285521303
35,35,5151963.546118887,5152837.84785519,504.2327812507513
36,36,5151963.546118887,5152577.02907953,523.2042308280937
37,37,5150746.629570234,5152268.895040122,444.7227754371071
38,38,5150746.629570234,5152076.355298485,224.2706689614232
39,39,5150746.629570234,5152039.364135003,259.62786367722373
40,40,5150746.629570234,5151980.779453662,325.1127219550461
41,41,5150746.629570234,5151830.847213899,374.1770273873446
