,Unnamed: 0,Mejor,Media,Std
0,0,5159088.642083694,5198963.987278782,20489.312647811552
1,1,5159088.642083694,5188924.140593973,17223.175255317765
2,2,5159088.642083694,5179297.878012557,14748.350667262306
3,3,5154249.328512572,5171844.325728035,11981.99103361058
4,4,5154249.328512572,5166566.00306506,7618.01567495903
5,5,5154249.328512572,5163866.110660139,9448.12844452863
6,6,5131330.810782895,5159210.424481676,8655.6053807254
7,7,5131330.810782895,5155712.473737226,6513.885789394557
8,8,5131330.810782895,5153540.594570493,7689.243236927396
9,9,5129926.316680195,5151322.308508651,8520.52792259155
10,10,5129926.316680195,5149703.986145544,10735.07451110531
11,11,5129641.107215685,5146613.523306564,11072.037221546478
12,12,5129641.107215685,5143395.513849755,12163.22352512967
13,13,5125022.125402554,5138700.052266873,10501.00947670509
14,14,5114765.26924315,5133075.098640964,8107.243410143903
15,15,5102873.247991939,5128765.91039198,4530.49851385688
16,16,5102873.247991939,5127083.0924822185,5767.718069527748
17,17,5102873.247991939,5125141.1274539055,5387.331820484416
18,18,5102873.247991939,5122236.059019147,6668.06030136706
19,19,5102873.247991939,5117920.904376635,6463.397003309087
20,20,5102513.461280617,5114595.694091847,6300.244869935958
21,21,5102023.511358463,5110799.231812966,5102.853495215897
22,22,5099045.656846932,5108088.315580277,4179.063244177241
23,23,5099045.656846932,5105757.582862899,3459.614435816025
24,24,5095719.138649341,5103598.999051279,3092.3360591316914
25,25,5095719.138649341,5102162.191534282,2396.8966417219617
26,26,5095254.472964254,5101042.801861024,2414.817840995226
27,27,5095254.472964254,5099661.50721939,2498.0482562900484
28,28,5095254.472964254,5098211.9705372285,2326.730408855217
29,29,5093732.176887755,5096773.581247346,1866.1734082728865
30,30,5093732.176887755,5095841.324198664,1603.460641761085
31,31,5091554.880369904,5095142.993147374,1208.6614461879
32,32,5091554.880369904,5094447.047517445,1173.57786639631
33,33,5090942.707944123,5093849.801197889,1357.7212595371584
34,34,5089624.240379277,5093230.513098577,1599.4745821406575
35,35,5086786.889520878,5092682.435456954,1473.472096187191
36,36,5086786.889520878,5092193.209207463,1139.4171724663645
37,37,5086786.889520878,5091755.520094403,1843.6967309814256
38,38,5084898.199917073,5090934.903336944,1998.2441070259808
39,39,5084898.199917073,5090236.177504981,1949.763992009942
40,40,5084898.199917073,5089144.197343263,2210.041985191867
41,41,5084898.199917073,5087692.405953413,2356.361333968357
42,42,5082000.370723029,5086296.212364304,1874.2857588182417
43,43,5082000.370723029,5085203.323887663,1693.133187504214
44,44,5082000.370723029,5084449.329691515,1435.949634300991
45,45,5082000.370723029,5083657.485336011,1341.7443329708665
46,46,5081843.514439993,5082953.990238272,1217.7633512466766
47,47,5081843.514439993,5082426.452502016,827.2708168360805
48,48,5080922.53899374,5082089.56140103,494.8782677462834
49,49,5080922.53899374,5081911.4950184,337.5690315538118
50,50,5080563.643370219,5081823.159194716,382.659585892196
51,51,5080563.643370219,5081689.274763791,424.965035768283
52,52,5080563.643370219,5081451.831571872,525.481806383181
53,53,5080085.70641917,5081078.705431181,590.1665364421436
54,54,5079438.52698479,5080764.7549817385,517.7944705989757
55,55,5079438.52698479,5080471.800014661,524.5781664427084
56,56,5078001.79963198,5080196.883880344,536.4119402331405
57,57,5078001.79963198,5080046.262491531,624.2006199417995
58,58,5077295.274227222,5079847.516394687,605.4368960196321
59,59,5077260.738740747,5079544.997262991,664.9235813827113
60,60,5077260.738740747,5079305.011795011,731.9239234897927
61,61,5077260.738740747,5079011.804556248,779.7694979294556
62,62,5076608.43479329,5078731.6685275,722.7089640019865
63,63,5076608.43479329,5078185.231534656,806.3696727576993
64,64,5076008.3019013405,5077663.876717349,721.1491184511652
65,65,5076008.3019013405,5077214.978857781,497.98295646926647
66,66,5076008.3019013405,5076998.105920208,496.84747018530834
67,67,5074763.875901555,5076735.699639185,586.047320746602
68,68,5074763.875901555,5076444.294058578,614.6675030223504
69,69,5074763.875901555,5076069.22814889,731.6441789430513
70,70,5074763.875901555,5075779.333617855,664.7502940751543
71,71,5073705.363499116,5075455.53246009,794.0119342346738
72,72,5073705.363499116,5075095.121571753,712.8070848917647
73,73,5073617.446260063,5074821.136423784,631.0822121092882
74,74,5073617.446260063,5074436.981260075,545.9526516163128
75,75,5072582.927906426,5074162.12483216,485.3513875236278
76,76,5072517.382927407,5073934.631993924,463.08990590172056
77,77,5072517.382927407,5073737.562711328,345.1263630739392
78,78,5072517.382927407,5073492.823552188,397.1043731180265
79,79,5072333.261641368,5073319.568897052,396.3083230939558
80,80,5072294.112284404,5073120.757193363,468.1758636105864
81,81,5071910.503961726,5072906.66147766,413.8838320187387
82,82,5071910.503961726,5072701.286171887,508.34299745561214
83,83,5071230.1600205805,5072455.645578048,415.77485491208046
84,84,5071230.1600205805,5072276.185104069,376.0333763368872
85,85,5071230.1600205805,5072177.637147236,478.2088169473072
86,86,5071230.1600205805,5071955.018729076,443.2299779013665
