,Unnamed: 0,Mejor,Media,Std
0,0,5162847.418548554,5195665.895835465,16887.669189480956
1,1,5162847.418548554,5189953.591857302,17667.75667919253
2,2,5139819.022515174,5184707.9813888725,18248.46923230613
3,3,5138836.599669351,5176727.96345961,16303.266495549567
4,4,5138836.599669351,5175725.985207458,16687.507024114413
5,5,5138626.918586206,5169336.372274504,14415.832552444195
6,6,5138626.918586206,5167076.885454563,15687.995522607887
7,7,5138626.918586206,5161770.595172619,14151.544158874696
8,8,5138626.918586206,5162910.11958646,17622.76727910838
9,9,5130423.016983856,5158094.645309675,15867.672579823124
10,10,5124080.03605874,5153843.798488406,15300.328890948078
11,11,5120755.087065231,5152300.204448702,18434.560737635748
12,12,5106610.187303124,5147827.309937102,16981.82622825274
13,13,5106610.187303124,5139511.0105153145,14541.334087755677
14,14,5106610.187303124,5137761.474916901,16046.6846282325
15,15,5106610.187303124,5133094.403934283,15684.244447187057
16,16,5103037.974702483,5128654.741259235,17004.27068436377
17,17,5102171.502581247,5125545.818229023,13909.347691300303
18,18,5101176.7309469,5120867.83800435,14907.28439263552
19,19,5095568.086824341,5114865.311426681,11583.249603666776
20,20,5095568.086824341,5111041.768887483,10577.848470637957
21,21,5095255.550477907,5109271.393642869,11112.19603549588
22,22,5095255.550477907,5106373.585164187,7678.556502151379
23,23,5087221.260740524,5105467.076883409,9802.383078085546
24,24,5086505.675574213,5101305.71442325,7733.282536419248
25,25,5086505.675574213,5098415.351243588,7715.779421838308
26,26,5081108.180997822,5095816.018390796,8466.579935350295
27,27,5079219.10835258,5093182.187109612,7058.752578615436
28,28,5069270.482539859,5090644.579653833,6130.336162756971
29,29,5069270.482539859,5087766.726408623,6729.422313008711
30,30,5069270.482539859,5085356.744050744,7984.931646851842
31,31,5068769.961473051,5081602.471335784,8147.21451770046
32,32,5060140.106509552,5076718.231643807,7948.384442712128
33,33,5060140.106509552,5074071.248648123,6331.156255855208
34,34,5060140.106509552,5071951.735819049,5463.834211999792
35,35,5060140.106509552,5068966.540623551,3610.913232392978
36,36,5060140.106509552,5067269.973410876,3615.424244728855
37,37,5057857.913962026,5065522.798957861,3833.4031189193834
38,38,5056650.4062297605,5063110.198495111,3298.3285220491625
