,Unnamed: 0,Mejor,Media,Std
0,0,5158773.812402022,5198456.412758331,16270.809771639906
1,1,5158773.812402022,5189925.878114105,13439.426541921472
2,2,5139860.164477266,5181642.030890792,10385.168460891116
3,3,5139860.164477266,5177400.480215201,12637.474160417694
4,4,5139860.164477266,5171343.5769915925,10235.81873988739
5,5,5139226.197866603,5167545.694202106,11174.33451348624
6,6,5139226.197866603,5161933.465477802,12305.64031183501
7,7,5138454.887571656,5156022.546753928,11504.74343007459
8,8,5138454.887571656,5152710.399196428,10598.930631453168
9,9,5138454.887571656,5146425.890109543,8155.170919750133
10,10,5138454.887571656,5142644.648507789,6447.343982328446
11,11,5138454.887571656,5140938.521534482,4349.364670869966
12,12,5138441.603379826,5139655.45120554,1713.5664272464446
13,13,5126549.898442896,5140556.768333381,7577.68954313209
14,14,5126549.898442896,5140000.891248038,8372.896065557637
15,15,5126549.898442896,5138893.340329389,7279.823358844315
16,16,5126549.898442896,5136618.648555619,6777.432247715713
17,17,5126498.2449412085,5133233.722507211,6141.23291884334
18,18,5111351.190835428,5129984.954565597,6351.423215073447
19,19,5111170.8242399255,5127159.271970306,4987.135373663644
20,20,5111170.8242399255,5126805.345300659,7996.867061846905
21,21,5109770.656975707,5125261.515513064,5618.384155753902
22,22,5109770.656975707,5122714.326914082,6534.048870011923
23,23,5109770.656975707,5118619.838193565,7534.92018534711
24,24,5109551.310498782,5115733.8556448165,9638.086458319029
25,25,5108827.049396916,5112496.830178909,5265.324380802635
26,26,5106146.788729627,5110742.233582096,2955.265544183554
27,27,5106146.788729627,5109878.280045118,1194.3461847977871
28,28,5105370.092870439,5109357.406255919,1278.1195529584188
29,29,5105370.092870439,5108740.847565218,1290.7202986876616
30,30,5104316.902123042,5108212.220280891,1542.3656934681742
31,31,5104022.950861977,5107376.278614697,1402.3870395943532
32,32,5104022.950861977,5106716.18986231,1395.4432896338958
33,33,5102987.553211248,5105933.411118201,1248.9160032892826
34,34,5102987.553211248,5105232.343568227,1019.4022022772608
35,35,5102987.553211248,5104693.622582799,755.1378929814938
36,36,5102987.553211248,5104255.442480297,483.8975136095295
37,37,5102987.553211248,5104064.391633856,356.4189759036819
38,38,5102957.480717426,5103825.566837162,434.6636880454499
39,39,5102360.647896616,5103586.725240022,525.7462054313153
40,40,5101901.156330876,5103277.129050998,525.8691055200629
41,41,5101901.156330876,5103062.263527409,473.0508735483339
42,42,5101901.156330876,5102795.364980835,486.9989506698295
43,43,5101295.177752065,5102485.079522234,469.8214445924644
44,44,5101295.177752065,5102236.211067943,519.6948615525595
45,45,5100783.66429429,5102020.388481718,586.0496305907095
46,46,5100105.640870419,5101733.64218275,593.8196539813104
47,47,5100059.423458993,5101321.451018449,678.8452219440926
48,48,5099258.45142127,5101012.908921357,826.6583323102415
49,49,5098179.948822956,5100490.24469587,633.376540609601
50,50,5098179.948822956,5100154.292330467,699.257104992625
51,51,5098179.948822956,5099817.389737297,717.0939250585138
52,52,5097020.80212796,5099468.9185945615,699.8699398626178
53,53,5097020.80212796,5099142.710679168,631.2924414274603
54,54,5097020.80212796,5098703.333649917,651.7978051492629
55,55,5096631.437471016,5098314.214385439,620.6076308920419
56,56,5096631.437471016,5097997.6184199685,598.4878116221078
57,57,5096631.437471016,5097653.852509525,563.4442611175064
58,58,5096203.148816451,5097253.421597489,593.7671551077283
59,59,5095645.9300086815,5096988.180910765,615.7989481949671
60,60,5094685.408117184,5096691.722259346,500.8505910040956
61,61,5094685.408117184,5096467.694554993,429.4133534874084
62,62,5094685.408117184,5096199.640011723,455.74929773298135
63,63,5094685.408117184,5095933.896315118,541.1248274229638
64,64,5094685.408117184,5095686.704437313,523.2635986931266
65,65,5094376.006142458,5095393.475935829,520.0744421211093
66,66,5094292.775035478,5095110.303322597,449.3875433371848
67,67,5094012.208439073,5094811.449042215,604.7038239204235
68,68,5093227.304890927,5094544.465426918,618.5569341545253
69,69,5092811.160142663,5094333.485019914,589.067521913059
70,70,5092352.414341455,5094031.107910711,624.9955112215131
71,71,5092352.414341455,5093752.170494662,647.7868043583978
72,72,5092352.414341455,5093487.596571539,552.6405605388617
73,73,5092352.414341455,5093197.513969187,489.4164642510317
74,74,5092122.032460139,5093038.180591935,347.2313452094759
75,75,5092122.032460139,5092885.471739285,423.8678681442644
76,76,5090047.703312746,5092687.110272917,474.3519831633333
77,77,5090047.703312746,5092504.518883204,517.8945067851902
78,78,5090047.703312746,5092287.203689572,569.5321713743605
79,79,5090047.703312746,5091959.542706293,777.7989973801508
80,80,5089472.226094954,5091578.320622371,921.1579793437074
81,81,5089256.043870254,5091120.782591416,942.7379492220344
82,82,5089256.043870254,5090677.95954319,970.9259389397292
83,83,5088431.745093233,5090213.408142087,816.6121557621377
84,84,5088431.745093233,5089739.599416291,566.1675565054462
85,85,5088258.740869123,5089399.25757684,520.5431245556583
86,86,5088258.740869123,5089080.94365328,425.3293010992759
87,87,5088231.962522401,5088894.633569915,366.0921138529186
88,88,5088231.962522401,5088753.222389691,378.4017216041171
89,89,5087362.056447934,5088561.091132816,340.2573598825822
90,90,5087362.056447934,5088412.972316547,239.6862358106176
91,91,5087362.056447934,5088277.9075791845,306.2038966313144
92,92,5087211.692978243,5088182.051919668,285.13971542212846
93,93,5087211.692978243,5088033.136260362,377.6567836084372
94,94,5087211.692978243,5087867.585862271,444.2692629768785
95,95,5087083.929367723,5087650.348497,394.5877639714442
96,96,5087083.929367723,5087468.23402351,350.4908819415721
97,97,5086438.872852571,5087301.913036021,281.3950342008784
98,98,5086438.872852571,5087118.174462731,431.5383715737094
99,99,5085376.436581008,5086960.647705294,464.61215470933024
100,100,5085376.436581008,5086648.653292396,544.0484996047377
101,101,5085096.4656738015,5086342.77393629,432.2973243992889
102,102,5085096.4656738015,5086104.043540317,490.7138113517235
103,103,5084429.570163777,5085819.466772989,530.7197661247611
104,104,5084384.144737062,5085522.199054286,483.5539235785293
105,105,5084007.979704893,5085327.711845093,386.8142459048967
106,106,5084007.979704893,5085180.718324685,466.6050401847275
107,107,5083674.224384375,5085074.046772869,495.1224684677679
108,108,5083674.224384375,5084849.161364446,582.6339614562028
109,109,5083674.224384375,5084496.609529364,640.6459385246644
110,110,5082842.083764493,5084152.582207572,637.9165452193906
111,111,5082842.083764493,5083878.342275644,466.3032469700093
112,112,5082842.083764493,5083591.549666291,468.0737951147319
113,113,5082225.442541046,5083404.359882642,599.9454222863046
114,114,5081470.096761645,5083091.156429404,537.6342932552118
115,115,5081470.096761645,5082806.686020771,482.8020412965524
116,116,5081470.096761645,5082615.769222099,471.4842667723556
117,117,5081034.6910924185,5082389.698127269,565.4301735453216
118,118,5081034.6910924185,5082123.560908644,600.1109635648507
119,119,5080759.351893683,5081842.642041414,536.9997264529637
120,120,5080759.351893683,5081518.338172024,470.6122527909631
121,121,5079439.264538606,5081298.437227462,399.90869713855074
122,122,5079439.264538606,5081070.513400143,490.6712515756585
123,123,5079439.264538606,5080925.62788344,430.3094859726603
124,124,5079439.264538606,5080751.44567382,428.0743450126027
125,125,5079439.264538606,5080513.913285535,437.3647613884089
126,126,5079250.082138925,5080202.492218121,514.9499812665501
127,127,5079217.724615308,5079971.014499965,509.22945053376594
128,128,5078599.289345298,5079684.094356006,490.9126624383047
129,129,5077080.347230971,5079489.939130921,468.820586174944
130,130,5077080.347230971,5079173.036509661,704.0199591506125
131,131,5077080.347230971,5078870.946663791,849.1049540812852
132,132,5077080.347230971,5078412.160247198,922.2104135660294
133,133,5076672.143756048,5077989.343417717,909.4626223752704
134,134,5076672.143756048,5077603.951035886,702.4185425694782
135,135,5076672.143756048,5077236.88230986,484.7773834244825
136,136,5075543.103135944,5077048.451365569,274.2737722015985
137,137,5075543.103135944,5077008.140287253,203.49007403327624
138,138,5075543.103135944,5076882.379636719,404.5548050268871
139,139,5075377.930539267,5076633.379222428,544.8374970091481
140,140,5075233.491972564,5076346.911111904,580.7458650548548
141,141,5075233.491972564,5075976.500188343,549.2794403273082
142,142,5075233.491972564,5075746.721601661,506.54255063701095
143,143,5074853.160207489,5075489.803301789,297.1127388847016
144,144,5074223.851503736,5075340.411062315,335.8198342388995
145,145,5074223.851503736,5075214.02927029,351.253503751798
146,146,5074000.848379945,5075040.380361231,373.1545694135601
147,147,5074000.848379945,5074859.3267322695,404.1558018075639
148,148,5073828.868984419,5074706.482300493,450.23424095100194
149,149,5073648.60497523,5074487.658015559,464.98351546070745
